id,name,type,address,city
PARTY_LOC,Crandall Way Party House,Off-Campus Residence,,San Luis Obispo
MUIR_HALL,Muir Hall (KS's Dorm),Dormitory,Cal Poly Campus,San Luis Obispo
SANTA_LUCIA,Santa Lucia Hall (PF's Dorm),Dormitory,Cal Poly Campus,San Luis Obispo
RF_HOME,Ruben Flores Home,Primary Residence/Burial Site,White Court,Arroyo Grande
PF_HOME_LA,Paul Flores Home,Suspect Residence,,San Pedro
EXCAVATION_16,Cal Poly Hillside Dig Site,Search Site,Cal Poly Campus,San Luis Obispo
MONTEREY_COURT,Monterey County Superior Court,Legal Venue,,Salinas
